Month,Avg. Temp,Min. Temp,Max. Temp,Precipitation,Heating Degrees Days,Cooling Degrees Days
"February, 1990",25.1,13.5,36.7,0.34,1113,
"January, 1990",28.5,17.8,39.2,0.15,1123,
"December, 1989",13.1,2.9,23.4,0.44,1610,
"November, 1989",32.3,21.2,43.4,0.73,995,
"October, 1989",48.7,34.2,63.2,0.9,505,
"September, 1989",60.3,46.3,74.4,2.41,191,42
"August, 1989",72.1,58.2,86,1.87,23,218
"July, 1989",75.8,62,89.7,2.43,11,332
"June, 1989",64.9,50.6,79.2,1.77,108,105
"May, 1989",56.7,43.1,70.3,1.24,285,29
"April, 1989",46.1,33.3,58.8,2.3,554,
"March, 1989",27.4,17.1,37.7,1.53,1128,
"February, 1989",10.4,-0.3,21,0.43,1522,
"January, 1989",23.4,11.5,35.3,0.22,1245,
"December, 1988",24,12.6,35.4,0.5,1266,
"November, 1988",33.2,22.6,43.8,0.7,939,
"October, 1988",46.5,32.7,60.2,0.27,590,
"September, 1988",59.8,45.6,74,2.11,185,49
"August, 1988",72.8,57.7,87.9,2.03,17,252
"July, 1988",75.1,60.4,89.6,1.25,12,316
"June, 1988",75.3,60.6,90,2.38,16,304
"May, 1988",61.2,48.2,74.2,3.32,179,78
"April, 1988",46.4,30.4,62.2,1.18,563,
"March, 1988",34.3,21.7,46.8,0.73,932,
"February, 1988",18.6,6.4,30.9,0.37,1325,
"January, 1988",13.3,1.6,24.9,0.5,1626,
"December, 1987",25.6,15.6,35.7,0.53,1229,
"November, 1987",37.2,26.4,48.1,0.56,832,
"October, 1987",44.8,30.5,59.2,0.38,631,
"September, 1987",60.6,46,75.1,1.26,180,47
"August, 1987",67.6,55.1,80.2,2.36,56,133
"July, 1987",74.8,61.1,88.4,2.98,14,309
"June, 1987",69.4,55.3,83.6,1.47,50,190
"May, 1987",61.6,49.1,74.1,3.14,171,83
"April, 1987",51.5,36.5,66.5,0.36,413,8
"March, 1987",32,23.2,40.9,2.83,956,
"February, 1987",31.7,21.5,41.9,1.38,917,
"January, 1987",25.8,14.3,37.4,0.13,1227,
"December, 1986",26.9,15.3,38.5,0.02,1180,
"November, 1986",28.4,17.8,39,0.77,1082,
"October, 1986",48.2,36.3,60.1,1.04,518,
"September, 1986",56.5,46.6,66.4,4.19,255,25
"August, 1986",67.7,53.9,81.5,1.89,59,127
"July, 1986",72.5,59.2,85.7,2.93,25,263
"June, 1986",68.7,56.3,81.1,3.66,56,171
"May, 1986",56.5,44.4,68.6,3.34,283,31
"April, 1986",44.6,33.4,55.7,5.14,592,
"March, 1986",39,28.3,49.8,1.19,825,
"February, 1986",17.1,8.5,25.7,0.63,1315,
"January, 1986",23.2,13.8,32.8,0.42,1284,
"December, 1985",12.8,2.3,23.4,0.59,1631,
"November, 1985",17.5,8.7,26.2,1.66,1390,
"October, 1985",46.6,33.5,59.8,1.04,567,
"September, 1985",56.8,45.9,67.6,2.62,264,21
"August, 1985",67.2,54.2,80.2,2.81,67,117
"July, 1985",73.8,58.9,88.6,2.02,22,255
"June, 1985",62.6,49.2,76,2.13,138,77
"May, 1985",61.6,46.7,76.4,2.1,186,70
"April, 1985",50.2,35.5,64.9,1.49,443,7
"March, 1985",34.7,22.9,46.5,1.57,908,
"February, 1985",17.9,6.4,29.4,0.08,1304,
"January, 1985",13.4,2,24.8,0.39,1590,
"December, 1984",15.5,3.9,27.1,0.57,1465,
"November, 1984",33.6,21.5,45.6,0.42,920,
"October, 1984",46.7,34.8,58.5,1.99,554,
"September, 1984",55.9,41.7,70.2,1.02,290,16
"August, 1984",73.8,59.5,88.1,1.93,14,258
"July, 1984",72.5,58.9,86,2.06,26,239
"June, 1984",65.6,53.6,77.5,5.81,93,124
"May, 1984",54.5,41.1,67.9,2.1,342,18
"April, 1984",43.6,32.8,54.4,3.58,643,
"March, 1984",28.7,19.4,37.9,1.18,1159,
"February, 1984",30.4,20.2,40.6,0.48,996,
"January, 1984",19.8,10.4,29.2,0.2,1424,
"December, 1983",2,-6.9,10.9,0.59,1938,
"November, 1983",32.3,24,40.6,1.6,975,
"October, 1983",47.9,35.8,60,1.36,518,
"September, 1983",60.8,46.2,75.5,1.23,169,57
"August, 1983",77.1,62.8,91.4,2.02,3,364
"July, 1983",75.2,61.7,88.7,2.71,12,322
"June, 1983",64.4,52,76.8,3.58,114,99
"May, 1983",52.4,39.1,65.6,2.72,389,13
"April, 1983",39.9,28.7,51.1,1.23,757,
"March, 1983",32.6,24.6,40.6,2,1001,
"February, 1983",30,19.4,40.7,0.12,1013,
"January, 1983",25.2,15.2,35.2,0.23,1274,
"December, 1982",24.6,14.3,34.9,0.5,1248,
"November, 1982",28.8,18.3,39.2,0.82,1074,
"October, 1982",46.5,35.2,57.8,4.19,565,
"September, 1982",59.4,46.1,72.7,1.87,209,35
"August, 1982",70.9,57.6,84.2,2.1,26,199
"July, 1982",72.9,59.3,86.4,3.08,22,264
"June, 1982",61.6,49.5,73.7,2.48,167,61
"May, 1982",56.3,45.7,66.9,6.32,284,34
"April, 1982",42,29.2,54.9,1.04,679,
"March, 1982",30.2,20.4,40,1.67,1059,
"February, 1982",18.9,7.8,30.1,0.21,1275,
"January, 1982",4.1,-7.4,15.6,0.72,1865,
"December, 1981",19.2,10.6,27.9,0.57,1422,
"November, 1981",37.8,25.7,49.8,0.65,803,
"October, 1981",46.9,35.2,58.5,1.64,560,
"September, 1981",61.9,46.2,77.6,0.93,155,61
"August, 1981",70.1,57.2,82.9,2.46,36,172
"July, 1981",73.1,60.1,86.1,4.02,21,265
"June, 1981",66,52.6,79.3,2.79,84,136
"May, 1981",55.4,42.7,68,2.31,318,22
"April, 1981",51.7,36.8,66.5,0.56,397,10
"March, 1981",37.7,22.6,52.8,1.11,844,
"February, 1981",25.6,13.5,37.6,0.25,1098,
"January, 1981",25,13.2,36.8,0.12,1258,
"December, 1980",23.1,12.5,33.7,0.41,1298,
"November, 1980",37,25.6,48.3,0.18,840,
"October, 1980",46.6,33.7,59.6,2.15,570,
"September, 1980",61.3,46.1,76.5,0.6,163,62
"August, 1980",70,56.5,83.6,3.22,37,189
"July, 1980",75.3,59.7,90.8,1.53,14,317
"June, 1980",68.4,54.4,82.4,3.03,64,161
"May, 1980",59.3,44.5,74.1,1.36,245,43
"April, 1980",48.8,33.8,63.7,0.83,503,2
"March, 1980",28.9,17.2,40.7,0.7,1108,
